FID,Join_Count,TARGET_FID,Id,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,pid,Lon,Lat
549,,,,,,,,,,,,,,,104.058254,30.658821
550,,,,,,,,,,,,,,,104.058266,30.658832
551,,,,,,,,,,,,,,,104.059309,30.658821
552,,,,,,,,,,,,,,,104.059923,30.658815
553,,,,,,,,,,,,,,,104.057813,30.658669
554,,,,,,,,,,,,,,,104.05741,30.658443
555,,,,,,,,,,,,,,,104.058242,30.658789
556,,,,,,,,,,,,,,,104.057813,30.658669
557,,,,,,,,,,,,,,,104.058242,30.658789
558,,,,,,,,,,,,,,,104.058331,30.657891
559,,,,,,,,,,,,,,,104.058293,30.656996
560,,,,,,,,,,,,,,,104.057304,30.656901
561,,,,,,,,,,,,,,,104.057113,30.656931
562,,,,,,,,,,,,,,,104.058254,30.658821
563,,,,,,,,,,,,,,,104.058242,30.658789
564,,,,,,,,,,,,,,,104.059923,30.658815
565,,,,,,,,,,,,,,,104.059955,30.659481
566,,,,,,,,,,,,,,,104.059923,30.658815
567,,,,,,,,,,,,,,,104.060857,30.658826
568,,,,,,,,,,,,,,,104.061718,30.658836
569,,,,,,,,,,,,,,,104.062754,30.658795
570,,,,,,,,,,,,,,,104.063784,30.658834
571,,,,,,,,,,,,,,,104.061801,30.659134
572,,,,,,,,,,,,,,,104.061718,30.658836
573,,,,,,,,,,,,,,,104.060857,30.658826
574,,,,,,,,,,,,,,,104.061718,30.658836
575,,,,,,,,,,,,,,,104.061801,30.659134
576,,,,,,,,,,,,,,,104.062271,30.659217
577,,,,,,,,,,,,,,,104.062271,30.659217
578,,,,,,,,,,,,,,,104.063314,30.659223
579,,,,,,,,,,,,,,,104.063765,30.659237
580,,,,,,,,,,,,,,,104.063784,30.658834
581,,,,,,,,,,,,,,,104.063765,30.659237
582,,,,,,,,,,,,,,,104.063765,30.659237
583,,,,,,,,,,,,,,,104.064491,30.659214
584,,,,,,,,,,,,,,,104.063784,30.658834
585,,,,,,,,,,,,,,,104.0648,30.658935
586,,,,,,,,,,,,,,,104.06509,30.659194
587,,,,,,,,,,,,,,,104.06509,30.659194
588,,,,,,,,,,,,,,,104.064491,30.659214
589,,,,,,,,,,,,,,,104.055137,30.658122
590,,,,,,,,,,,,,,,104.056033,30.657684
591,,,,,,,,,,,,,,,104.056796,30.658239
592,,,,,,,,,,,,,,,104.056846,30.65828
593,,,,,,,,,,,,,,,104.056846,30.65828
594,,,,,,,,,,,,,,,104.05709,30.65843
595,,,,,,,,,,,,,,,104.05741,30.658443
596,,,,,,,,,,,,,,,104.05709,30.65843
597,,,,,,,,,,,,,,,104.05741,30.658443
598,,,,,,,,,,,,,,,104.05719,30.657563
599,,,,,,,,,,,,,,,104.057113,30.656931
